Unique_ID,Creative_Dimension,Reporting_Label,Creative_Groups_1,Creative_Groups_2,isDefault,isActive,Start_Date,End_Date,Ad_ID,Placement_ID,Site_ID,Campaign_ID,Creative_ID,Targeting_Key,AdTag_Parameter,Geo,backgroundImg,logoImg,introText1,introText2,sublineText,boxTextDeviceTitle,boxTextValue,boxTextValueExtra,boxTextSubline,deviceImg,ctaButton,icmMods,icmAdID,icmClickUrl,icmFormat,icmTemplate,icmTrack
22_0_1250x360,1250x360,Neeraj,,,FALSE,TRUE,2016-10-07 00:00:00+02:00,2016-11-17 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/238x480/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introTextContainer"":{""fontSizeP"":""95%""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""50%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_0,http://www.tele2.se,1250x360,tele2_produktmall,tele2_22_0
22_0_1250x360_1,1250x360,Neeraj,,,FALSE,TRUE,2016-11-30 18:26:00+01:00,2016-12-31 00:00:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/238x480/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introTextContainer"":{""fontSizeP"":""95%""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""50%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_0,http://www.tele2.se,1250x360,tele2_produktmall,tele2_22_0
22_0_1250x300,1250x300,Neeraj,,,FALSE,TRUE,2016-10-07 00:00:00+02:00,2016-11-17 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/238x480/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""50%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_0,http://www.tele2.se,1250x300,tele2_produktmall,tele2_22_0
22_0_1250x300_1,1250x300,Neeraj,,,FALSE,TRUE,2016-11-30 18:26:00+01:00,2016-12-31 00:00:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/238x480/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""50%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_0,http://www.tele2.se,1250x300,tele2_produktmall,tele2_22_0
22_0_1100x210,1100x210,Neeraj,,,FALSE,TRUE,2016-10-07 00:00:00+02:00,2016-11-17 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/238x480/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""60%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""80%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""110%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_0,http://www.tele2.se,1100x210,tele2_produktmall,tele2_22_0
22_0_1100x210_1,1100x210,Neeraj,,,FALSE,TRUE,2016-11-30 18:26:00+01:00,2016-12-31 00:00:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/238x480/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""60%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""80%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""110%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_0,http://www.tele2.se,1100x210,tele2_produktmall,tele2_22_0
22_0_1000x240,1000x240,Neeraj,,,FALSE,TRUE,2016-10-07 00:00:00+02:00,2016-11-17 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/238x480/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""60%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""80%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""110%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_0,http://www.tele2.se,1000x240,tele2_produktmall,tele2_22_0
22_0_1000x240_1,1000x240,Neeraj,,,FALSE,TRUE,2016-11-30 18:26:00+01:00,2016-12-31 00:00:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/238x480/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""60%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""80%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""110%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_0,http://www.tele2.se,1000x240,tele2_produktmall,tele2_22_0
22_0_980x300,980x300,Neeraj,,,FALSE,TRUE,2016-10-07 00:00:00+02:00,2016-11-17 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/238x480/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""60%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""80%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""110%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_0,http://www.tele2.se,980x300,tele2_produktmall,tele2_22_0
22_0_980x300_1,980x300,Neeraj,,,FALSE,TRUE,2016-11-30 18:26:00+01:00,2016-12-31 00:00:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/238x480/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""60%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""80%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""110%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_0,http://www.tele2.se,980x300,tele2_produktmall,tele2_22_0
